,player_name,pro_id,cbb_id,made_asg
861,Rakeem Christmas,chrisra01,rakeem-christmas-1,0.0
862,Richaun Holmes,holmeri01,richaun-holmes-1,0.0
863,Darrun Hilliard,hillida01,darrun-hilliard-1,0.0
864,Juan Pablo Vaulet,vauleju01,,0.0
865,Josh Richardson,richajo01,josh-richardson-2,0.0
866,Pat Connaughton,connapa01,pat-connaughton-1,0.0
867,Olivier Hanlan,hanlaol01,olivier-hanlan-1,0.0
868,Joe Young,youngjo01,joseph-young-1,0.0
869,Andrew Harrison,harrian01,andrew-harrison-1,0.0
870,Marcus Thornton,thornma02,marcus-thornton-3,0.0
871,Norman Powell,powelno01,norman-powell-1,0.0
872,Artūras Gudaitis,gudaiar01,,0.0
873,Dakari Johnson,johnsda04,dakari-johnson-1,0.0
874,Aaron White,whiteaa01,aaron-white-3,0.0
875,Marcus Eriksson,eriksma01,,0.0
876,Tyler Harvey,harvety01,tyler-harvey-1,0.0
877,Satnam Singh Bhamara,singhsa01,,0.0
878,Sir'Dominic Pointer,pointsi01,sirdominic-pointer-1,0.0
879,Dani Díez de la Faya,diezda01,,0.0
880,Cady Lalanne,lalanca01,cady-lalanne-1,0.0
881,Branden Dawson,dawsobr01,branden-dawson-1,0.0
882,Nikola Radičević,radicni01,,0.0
883,J.P. Tokoto,tokotjp01,jp-tokoto-1,0.0
884,Dimitrios Agravanis,agravdi01,,0.0
885,Luka Mitrović,mitrolu01,,0.0
886,Ben Simmons,simmobe01,ben-simmons-1,1.0
887,Brandon Ingram,ingrabr01,brandon-ingram-1,1.0
888,Jaylen Brown,brownja02,jaylen-brown-1,0.0
889,Dragan Bender,bendedr01,,0.0
890,Kris Dunn,dunnkr01,kris-dunn-1,0.0
891,Buddy Hield,hieldbu01,buddy-hield-1,0.0
892,Jamal Murray,murraja01,jamal-murray-1,0.0
893,Marquese Chriss,chrisma01,marquese-chriss-1,0.0
894,Jakob Pöltl,poeltja01,jakob-poeltl-1,0.0
895,Thon Maker,makerth01,,0.0
896,Domantas Sabonis,sabondo01,domantas-sabonis-1,1.0
897,Taurean Waller-Prince,princta02,taurean-prince-1,0.0
898,Georgios Papagiannis,papagge01,,0.0
899,Denzel Valentine,valende01,denzel-valentine-1,0.0
900,Juan Hernangómez,hernaju01,,0.0
901,Guerschon Yabusele,yabusgu01,,0.0
902,Wade Baldwin,baldwwa01,wade-baldwin-1,0.0
903,Henry Ellenson,ellenhe01,henry-ellenson-1,0.0
904,Malik Beasley,beaslma01,malik-beasley-1,0.0
905,Caris LeVert,leverca01,caris-levert-1,0.0
906,DeAndre' Bembry,bembrde01,deandre-bembry-1,0.0
907,Malachi Richardson,richama01,malachi-richardson-1,0.0
908,Ante Žižić,zizican01,,0.0
909,Timothé Luwawu-Cabarrot,luwawti01,,0.0
910,Brice Johnson,johnsbr02,brice-johnson-1,0.0
911,Furkan Korkmaz,korkmfu01,,0.0
912,Pascal Siakam,siakapa01,pascal-siakam-1,1.0
