player_name,pro_id,cbb_id
Andrew Nicholson,nichoan01,andrew-nicholson-1
Evan Fournier,fournev01,
Jared Sullinger,sullija01,jared-sullinger-1
Fab Melo,melofa01,fab-melo-1
John Jenkins,jenkijo01,john-jenkins-1
Jared Cunningham,cunnija01,jared-cunningham-2
Tony Wroten,wroteto01,tony-wroten-1
Miles Plumlee,plumlmi01,miles-plumlee-1
Arnett Moultrie,moultar01,arnett-moultrie-1
Perry Jones,jonespe01,perry-jones-1
Marquis Teague,teaguma01,marquis-teague-1
Festus Ezeli,ezelife01,festus-ezeli-1
Jeffery Taylor,tayloje03,jeffery-taylor-1
Tomáš Satoranský,satorto01,
Bernard James,jamesbe01,bernard-james--1
Jae Crowder,crowdja01,jae-crowder-1
Draymond Green,greendr01,draymond-green-1
Orlando Johnson,johnsor01,orlando-johnson-1
Quincy Acy,acyqu01,quincy-acy-1
Quincy Miller,millequ01,quincy-miller-1
Khris Middleton,middlkh01,khris-middleton-1
Will Barton,bartowi01,will-barton-1
Tyshawn Taylor,tayloty01,tyshawn-taylor-1
Doron Lamb,lambdo01,doron-lamb-1
Mike Scott,scottmi01,mike-scott-4
Kim English,engliki01,kim-english-1
Justin Hamilton,hamilju01,justin-hamilton-2
Darius Miller,milleda01,darius-miller-1
Kevin Murphy,murphke01,kevin-murphy-1
Kostas Papanikolaou,papanko01,
Kyle O'Quinn,oquinky01,kyle-oquinn-1
İzzet Türkyılmaz,turkyiz01,
Kris Joseph,josepkr01,kris-joseph-1
Ognjen Kuzmić,kuzmiog01,
Furkan Aldemir,aldemfu01,
Tornike Shengelia,shengto01,
Darius Johnson-Odom,johnsda03,darius-johnson-odom-1
Tomislav Zubčić,zubcito01,
İlkan Karaman,karamil01,
Robbie Hummel,hummero01,robbie-hummel-1
Marcus Denmon,denmoma01,marcus-denmon-1
Robert Sacre,sacrero01,robert-sacre-1
Anthony Bennett,bennean01,anthony-bennett-1
Victor Oladipo,oladivi01,victor-oladipo-1
Otto Porter,porteot01,otto-porter-1
Cody Zeller,zelleco01,cody-zeller-1
Alex Len,lenal01,alex-len-1
Nerlens Noel,noelne01,nerlens-noel-1
Ben McLemore,mclembe01,ben-mclemore-1
Kentavious Caldwell-Pope,caldwke01,kentavious-caldwell-pope-1
Trey Burke,burketr01,trey-burke-1
CJ McCollum,mccolcj01,cj-mccollum-1
Michael Carter-Williams,cartemi01,michael-carter-williams-1
Steven Adams,adamsst01,steven-adams-1
Kelly Olynyk,olynyke01,kelly-olynyk-1
Shabazz Muhammad,muhamsh01,shabazz-muhammad-1
Giannis Antetokounmpo,antetgi01,
Lucas Nogueira,noguelu01,
Dennis Schröder,schrode01,
Shane Larkin,larkish01,shane-larkin-1
Sergey Karasev,karasse01,
Tony Snell,snellto01,tony-snell-1
Gorgui Dieng,dienggo01,gorgui-dieng-1
Mason Plumlee,plumlma01,mason-plumlee-1
Solomon Hill,hillso01,solomon-hill-1
